tweet_id	created_at
318576422715273216	2013-04-01 00:11:52
318577985701703681	2013-04-01 00:18:05
318592554029420544	2013-04-01 01:15:58
318592680739344385	2013-04-01 01:16:28
318592701215936512	2013-04-01 01:16:33
318592713270370305	2013-04-01 01:16:36
318592771348901888	2013-04-01 01:16:50
318593278670929921	2013-04-01 01:18:51
318593619281973248	2013-04-01 01:20:12
318593933447946240	2013-04-01 01:21:27
318594228244578304	2013-04-01 01:22:37
318594479831539712	2013-04-01 01:23:37
318595489631174656	2013-04-01 01:27:38
318597273024069632	2013-04-01 01:34:43
318613171420151808	2013-04-01 02:37:54
318617909473726464	2013-04-01 02:56:43
318621853386145792	2013-04-01 03:12:24
318660132533829632	2013-04-01 05:44:30
318672561300971521	2013-04-01 06:33:53
318695239009304576	2013-04-01 08:04:00
318695297494679552	2013-04-01 08:04:14
318695504689131521	2013-04-01 08:05:04
318695937881014272	2013-04-01 08:06:47
318696058890895360	2013-04-01 08:07:16
318696061206147072	2013-04-01 08:07:16
318696183512039424	2013-04-01 08:07:45
318696223420866561	2013-04-01 08:07:55
318696445324693504	2013-04-01 08:08:48
318696557933367297	2013-04-01 08:09:15
318696601017278464	2013-04-01 08:09:25
318696898368266242	2013-04-01 08:10:36
318696900327002112	2013-04-01 08:10:36
318697711459250177	2013-04-01 08:13:50
318698456866766848	2013-04-01 08:16:47
318702641549029376	2013-04-01 08:33:25
318706062020710400	2013-04-01 08:47:01
318706708388118528	2013-04-01 08:49:35
318708480187961344	2013-04-01 08:56:37
318710868869271552	2013-04-01 09:06:07
318712286065868800	2013-04-01 09:11:45
318712486562000896	2013-04-01 09:12:32
318716699509653505	2013-04-01 09:29:17
318718431253901312	2013-04-01 09:36:10
318719746105286657	2013-04-01 09:41:23
318721205681135617	2013-04-01 09:47:11
318723899305111553	2013-04-01 09:57:53
318723969693913088	2013-04-01 09:58:10
318727527453556736	2013-04-01 10:12:18
318727560592764928	2013-04-01 10:12:26
318728373604085760	2013-04-01 10:15:40
318729368883052544	2013-04-01 10:19:37
318730351159701505	2013-04-01 10:23:32
318735572019589120	2013-04-01 10:44:16
318741435501391872	2013-04-01 11:07:34
318744249019559936	2013-04-01 11:18:45
318748777097867265	2013-04-01 11:36:45
318749049564065795	2013-04-01 11:37:50
318750255350960128	2013-04-01 11:42:37
318754983598256128	2013-04-01 12:01:24
318758810862895104	2013-04-01 12:16:37
318758969537597441	2013-04-01 12:17:15
318761271380033536	2013-04-01 12:26:24
318769427803959296	2013-04-01 12:58:48
318769714534952961	2013-04-01 12:59:57
318771442827280384	2013-04-01 13:06:49
318771802065219584	2013-04-01 13:08:14
318783100291280896	2013-04-01 13:53:08
318785602642399233	2013-04-01 14:03:05
318790297003888640	2013-04-01 14:21:44
318790503896334336	2013-04-01 14:22:33
318790960375021569	2013-04-01 14:24:22
318791001210761216	2013-04-01 14:24:32
318791071301767168	2013-04-01 14:24:48
318792593288884224	2013-04-01 14:30:51
318795311067836417	2013-04-01 14:41:39
318796201996730368	2013-04-01 14:45:12
318797238648324098	2013-04-01 14:49:19
318797817080598528	2013-04-01 14:51:37
318797975692402688	2013-04-01 14:52:15
318799110805282817	2013-04-01 14:56:45
318799553686040576	2013-04-01 14:58:31
318800131036151809	2013-04-01 15:00:48
318800772991180802	2013-04-01 15:03:21
318801616339873792	2013-04-01 15:06:43
318808421816213504	2013-04-01 15:33:45
318809204993449984	2013-04-01 15:36:52
318810102197002240	2013-04-01 15:40:26
318826009363378177	2013-04-01 16:43:38
318826773406158848	2013-04-01 16:46:40
318827445425934336	2013-04-01 16:49:21
318830332696735746	2013-04-01 17:00:49
318831448561942528	2013-04-01 17:05:15
318837824185065473	2013-04-01 17:30:35
318848422499213313	2013-04-01 18:12:42
318848688191598592	2013-04-01 18:13:45
318858641434361856	2013-04-01 18:53:18
318858671796920322	2013-04-01 18:53:26
318858720765427712	2013-04-01 18:53:37
318858734635974657	2013-04-01 18:53:41
318859107354419200	2013-04-01 18:55:09
318859137788305408	2013-04-01 18:55:17
